Code,SA4_Label,Year,population_total,population_density,population_males,population_females,median_age_males,median_age_females,median_age_persons,working_age_population,working_age_population_pct,GCCSA,State
312,Mackay - Isaac - Whitsunday,2023,189621,2.1,97443,92200,38.6,38.2,38.4,124543,0.657,3RQLD Rest of QLD,QLD
313,Moreton Bay - North,2019,258021,59.4,126637,131384,40.0,42.5,41.3,157248,0.609,3GBRI Greater Brisbane,QLD
313,Moreton Bay - North,2020,263713,60.7,129342,134371,40.5,43.0,41.8,159918,0.606,3GBRI Greater Brisbane,QLD
313,Moreton Bay - North,2021,268977,61.9,132141,136836,40.9,43.5,42.2,162194,0.603,3GBRI Greater Brisbane,QLD
313,Moreton Bay - North,2022,276554,63.7,135731,140823,41.1,43.6,42.3,166664,0.603,3GBRI Greater Brisbane,QLD
313,Moreton Bay - North,2023,284372,65.5,139504,144887,40.9,43.4,42.2,172103,0.605,3GBRI Greater Brisbane,QLD
314,Moreton Bay - South,2019,215376,278.5,106530,108846,34.4,36.0,35.3,141044,0.655,3GBRI Greater Brisbane,QLD
314,Moreton Bay - South,2020,219021,283.2,108317,110704,34.7,36.4,35.6,143290,0.654,3GBRI Greater Brisbane,QLD
314,Moreton Bay - South,2021,221556,286.5,109646,111910,35.1,36.9,36.1,144945,0.654,3GBRI Greater Brisbane,QLD
314,Moreton Bay - South,2022,226447,292.8,111914,114533,35.3,37.0,36.2,148404,0.655,3GBRI Greater Brisbane,QLD
314,Moreton Bay - South,2023,232030,300.0,114722,117331,35.4,37.1,36.3,152842,0.659,3GBRI Greater Brisbane,QLD
315,Queensland - Outback,2019,81677,0.1,42530,39147,33.7,33.2,33.4,54040,0.662,3RQLD Rest of QLD,QLD
315,Queensland - Outback,2020,81640,0.1,42505,39135,34.0,33.7,33.8,54009,0.662,3RQLD Rest of QLD,QLD
315,Queensland - Outback,2021,81605,0.1,42488,39117,34.3,34.0,34.2,53995,0.662,3RQLD Rest of QLD,QLD
315,Queensland - Outback,2022,81679,0.1,42424,39255,34.7,34.2,34.4,53766,0.6579999999999999,3RQLD Rest of QLD,QLD
